TIME;Battery_Volt_L;Battery_Current_L;RPM_L;Motor_Temp_L;ESC_Temp_Main_L;LHM_Fx;LHM_Mz;LHM_VIBO1x;LHM_VIBO1y;Test_ID;Note_Text
12:37,0;49,8661;3,0319;1283;31,522;30,422;1,72869;0,076159;0,016463;0,014298;1;run_1
12:37,0;49,8852;3,1339;1297;31,527;30,426;1,79471;0,076686;0,006259;0,003838;1;run_1
12:37,0;49,8347;3,1982;1310;31,532;30,430;1,68663;0,080416;-0,017467;-0,013802;1;run_1
12:37,0;49,8669;3,1918;1320;31,537;30,434;1,76152;0,074056;0,007490;0,007422;1;run_1
12:37,0;49,8593;3,0740;1334;31,542;30,438;1,82010;0,078688;0,016678;0,013082;1;run_1
12:37,0;49,8500;3,2049;1344;31,547;30,442;1,79344;0,077683;-0,011611;-0,010718;1;run_1
12:37,1;49,8561;3,2411;1356;31,552;30,446;1,92007;0,090633;-0,012152;-0,008509;1;run_1
12:37,1;49,8649;3,1832;1367;31,557;30,450;1,95046;0,077718;0,014561;0,010915;1;run_1
12:37,1;49,8797;3,1615;1375;31,562;30,454;1,90389;0,078480;-0,008901;-0,008409;1;run_1
12:37,1;49,8632;3,3134;1389;31,568;30,459;1,99865;0,085735;-0,018320;-0,014614;1;run_1
12:37,1;49,8502;3,4039;1399;31,573;30,463;1,98143;0,088754;0,011404;0,010535;1;run_1
12:37,1;49,8585;3,3348;1407;31,578;30,467;2,03006;0,091961;-0,004147;-0,003512;1;run_1
12:37,1;49,8721;3,2651;1417;31,583;30,471;2,04783;0,081495;-0,016966;-0,014367;1;run_1
12:37,1;49,8674;3,3446;1427;31,589;30,476;2,08743;0,084098;0,017625;0,013286;1;run_1
12:37,1;49,8303;3,3461;1435;31,594;30,480;2,12633;0,091704;-0,009832;-0,006550;1;run_1
