TIME,Run_ID,command_pct,rpm,thrust_n,torque_nm,vibration_g
not-recorded,0,0,3.52,0.0000,0.00115,-0.000540
not-recorded,0,0,0.00,0.0000,0.00137,0.001972
not-recorded,0,0,0.00,0.0000,0.00000,-0.002941
not-recorded,0,0,3.54,0.0231,0.00107,-0.000239
not-recorded,0,0,0.36,0.0000,0.00000,-0.002054
not-recorded,0,0,0.00,0.0133,0.00050,-0.000701
not-recorded,0,0,0.00,0.0000,0.00607,-0.002173
not-recorded,0,0,0.79,0.0190,0.00000,-0.001800
not-recorded,0,0,1.43,0.0000,0.00000,0.000535
not-recorded,0,0,0.00,0.0000,0.00076,-0.000782
not-recorded,0,0,0.00,0.0000,0.00746,0.000114
not-recorded,0,0,0.00,0.0000,0.00031,-0.000523
not-recorded,0,0,4.29,0.0000,0.00425,0.000524
not-recorded,0,0,4.42,0.0000,0.00234,-0.000515
not-recorded,0,0,0.04,0.0428,0.00000,0.001020
not-recorded,0,0,0.00,0.0000,0.00294,-0.001367
not-recorded,0,0,0.00,0.0000,0.00068,0.001271
not-recorded,0,0,2.00,0.0285,0.00000,-0.001387
not-recorded,0,0,0.00,0.0000,0.00000,0.002308
not-recorded,0,0,0.00,0.0000,0.00384,0.000456
not-recorded,0,0,0.00,0.0000,0.00142,0.000217
not-recorded,0,0,0.60,0.0000,0.00086,-0.000727
not-recorded,0,0,0.00,0.0470,0.00000,0.000811
not-recorded,0,0,0.00,0.0000,0.00000,-0.000992
not-recorded,0,0,0.00,0.0001,0.00155,0.001195
not-recorded,0,0,0.00,0.0163,0.00000,-0.000426
not-recorded,0,0,2.23,0.0000,0.00000,0.000483
not-recorded,0,0,4.24,0.0000,0.00666,-0.001250
not-recorded,0,0,1.16,0.0000,0.00000,-0.000199
not-recorded,0,0,0.84,0.0395,0.00000,-0.001155
not-recorded,0,0,0.00,0.0000,0.00146,0.000780
not-recorded,0,0,0.00,0.0168,0.00428,0.002114
not-recorded,0,0,0.15,0.0398,0.00000,-0.000210
not-recorded,0,0,0.00,0.0113,0.00390,0.001179
not-recorded,0,0,0.00,0.0192,0.00000,-0.000043
not-recorded,0,0,0.00,0.0000,0.00023,-0.000680
not-recorded,0,0,0.00,0.0561,0.00205,0.000814
not-recorded,0,0,0.00,0.0326,0.00000,0.000119
not-recorded,0,0,1.05,0.0000,0.00425,-0.000223
not-recorded,0,0,0.36,0.0642,0.00166,-0.001280
not-recorded,0,0,0.00,0.0711,0.00113,-0.000043
not-recorded,0,0,0.00,0.0065,0.00049,0.000331
not-recorded,0,0,0.00,0.0488,0.00048,-0.000014
not-recorded,0,0,0.00,0.0145,0.00497,0.000148
not-recorded,0,0,0.00,0.0000,0.00288,0.000235
not-recorded,0,0,0.00,0.0353,0.00000,0.000546
not-recorded,0,0,2.46,0.0000,0.00000,0.000000
not-recorded,0,0,0.00,0.0713,0.00000,0.001162
not-recorded,0,0,0.24,0.0221,0.00375,0.000948
not-recorded,0,0,0.00,0.0000,0.00000,-0.002171
not-recorded,0,0,0.00,0.0346,0.00720,0.001214
not-recorded,0,0,4.02,0.0490,0.00683,0.000949
not-recorded,0,0,0.00,0.0617,0.00000,-0.000369
not-recorded,0,0,0.00,0.0000,0.00127,0.001518
not-recorded,0,0,0.00,0.0297,0.00000,-0.001392
not-recorded,0,0,0.00,0.0000,0.00816,-0.000629
not-recorded,0,0,0.00,0.0274,0.00000,0.000442
not-recorded,0,0,0.13,0.0000,0.00000,-0.000892
not-recorded,0,0,0.98,0.0000,0.00327,-0.000130
not-recorded,0,0,0.00,0.0000,0.00585,0.000376
not-recorded,0,0,0.00,0.0136,0.00000,0.002515
not-recorded,0,0,3.04,0.0600,0.00255,0.001080
not-recorded,0,0,0.00,0.0371,0.00000,-0.001377
not-recorded,0,0,0.12,0.0000,0.00320,0.001835
not-recorded,0,0,0.00,0.0000,0.00000,0.001848
not-recorded,0,0,0.00,0.0000,0.00000,-0.000783
not-recorded,0,0,2.19,0.0000,0.00224,0.001868
not-recorded,0,0,0.00,0.0177,0.00000,-0.000376
not-recorded,0,0,0.64,0.0000,0.00000,0.001491
not-recorded,0,0,0.00,0.0245,0.00132,-0.000023
not-recorded,0,0,0.00,0.0119,0.00601,-0.000382
not-recorded,0,0,1.62,0.0000,0.00642,0.001183
not-recorded,0,0,0.00,0.0058,0.00463,0.000114
not-recorded,0,0,0.00,0.0000,0.00000,0.000466
not-recorded,0,0,0.00,0.0000,0.00214,0.001199
not-recorded,0,0,0.25,0.0363,0.00040,0.000431
not-recorded,0,0,0.00,0.0152,0.00000,0.000799
not-recorded,0,0,2.01,0.0000,0.00000,-0.001216
not-recorded,0,0,0.00,0.0183,0.00000,-0.001814
not-recorded,0,0,0.00,0.0079,0.00000,-0.002149
not-recorded,0,0,2.98,0.0000,0.00000,-0.000742
not-recorded,0,0,0.00,0.0000,0.00426,-0.000423
not-recorded,0,0,0.00,0.0078,0.00000,-0.001301
not-recorded,0,0,0.00,0.0249,0.00288,-0.001443
not-recorded,0,0,0.00,0.0000,0.00000,-0.001000
not-recorded,0,0,3.39,0.0000,0.00000,0.001816
not-recorded,0,0,1.40,0.0504,0.00000,-0.001215
not-recorded,0,0,0.00,0.0000,0.00000,-0.001076
not-recorded,0,0,2.12,0.0000,0.00023,0.000927
not-recorded,0,0,1.36,0.0172,0.00000,0.002979
not-recorded,0,0,0.00,0.0000,0.00133,-0.001840
not-recorded,0,0,0.00,0.0555,0.00012,0.000745
not-recorded,0,0,0.00,0.0518,0.00000,0.001396
not-recorded,0,0,0.00,0.0000,0.00414,0.001217
not-recorded,0,0,0.00,0.0049,0.00000,0.000436
not-recorded,0,0,0.07,0.0351,0.00708,0.000874
not-recorded,0,0,0.00,0.0828,0.00000,-0.000492
not-recorded,0,0,1.08,0.0000,0.00167,-0.000646
not-recorded,0,0,0.00,0.0183,0.00371,0.001658
not-recorded,0,0,3.30,0.0096,0.00000,-0.000804
not-recorded,0,0,0.00,0.0000,0.00426,-0.000441
not-recorded,0,0,0.00,0.0000,0.00000,0.001264
not-recorded,0,0,0.00,0.0337,0.00098,-0.000446
not-recorded,0,0,0.75,0.0000,0.00165,0.001045
not-recorded,0,0,1.48,0.0000,0.00000,-0.002555
not-recorded,0,0,0.00,0.0408,0.00131,-0.001339
not-recorded,0,0,0.65,0.0000,0.00000,-0.000460
not-recorded,0,0,0.00,0.0291,0.00000,0.000235
not-recorded,0,0,1.14,0.0072,0.00000,0.002316
not-recorded,0,0,0.00,0.0641,0.00000,0.000926
not-recorded,0,0,0.00,0.0052,0.00000,-0.000101
not-recorded,0,0,2.50,0.0191,0.00000,-0.000994
not-recorded,0,0,0.00,0.0000,0.00454,-0.001094
not-recorded,0,0,0.00,0.0371,0.00000,0.001255
not-recorded,0,0,2.41,0.0131,0.00123,0.000553
not-recorded,0,0,3.54,0.0047,0.00000,0.000383
not-recorded,0,0,3.94,0.0061,0.00589,-0.001394
not-recorded,0,0,1.15,0.0000,0.00000,0.000807
not-recorded,0,0,0.41,0.0000,0.00413,-0.000977
not-recorded,0,0,0.85,0.0000,0.00284,0.000852
not-recorded,0,0,2.31,0.0000,0.00000,-0.000782
not-recorded,0,0,0.00,0.0000,0.00439,0.001461
not-recorded,0,0,1.63,0.0465,0.00048,-0.000739
not-recorded,0,0,2.30,0.0000,0.00000,-0.001427
not-recorded,0,0,3.16,0.0148,0.00163,-0.000015
not-recorded,0,0,0.57,0.0000,0.00000,-0.000363
not-recorded,0,0,0.00,0.0586,0.00219,-0.000171
not-recorded,0,0,2.83,0.0341,0.00000,-0.001375
not-recorded,0,0,1.38,0.0000,0.00010,-0.000774
not-recorded,0,0,0.00,0.0000,0.00188,0.001386
not-recorded,0,0,0.31,0.0000,0.00242,-0.002393
not-recorded,0,0,0.00,0.0000,0.00000,0.000892
not-recorded,0,0,0.45,0.0017,0.00000,0.000732
not-recorded,0,0,0.20,0.0000,0.00232,0.000334
not-recorded,0,0,3.00,0.0078,0.00414,-0.001457
not-recorded,0,0,0.00,0.0000,0.00000,-0.000685
not-recorded,0,0,0.00,0.0000,0.00236,-0.000925
not-recorded,0,0,0.00,0.0000,0.00000,0.001124
not-recorded,0,0,3.71,0.0000,0.00000,-0.000206
not-recorded,0,0,4.02,0.0175,0.00555,0.001315
not-recorded,0,0,2.79,0.0000,0.00000,0.000542
not-recorded,0,0,0.00,0.0470,0.00115,-0.000244
not-recorded,0,0,1.24,0.0792,0.00639,0.000162
not-recorded,0,0,0.00,0.0000,0.00132,0.000135
not-recorded,0,0,0.00,0.0426,0.00000,0.000365
not-recorded,0,0,2.41,0.0026,0.00608,0.000663
not-recorded,0,0,0.00,0.0769,0.00000,0.000995
not-recorded,0,0,0.00,0.0319,0.00000,0.001428
not-recorded,0,0,0.29,0.0121,0.00221,-0.000176
not-recorded,0,0,0.00,0.0000,0.00000,-0.000351
not-recorded,0,0,0.00,0.0200,0.00000,0.002313
not-recorded,0,0,2.21,0.0241,0.00000,-0.002202
not-recorded,0,0,0.00,0.0137,0.00295,-0.002519
not-recorded,0,0,2.77,0.0761,0.00585,-0.001977
not-recorded,0,0,0.00,0.0187,0.00000,0.000429
not-recorded,0,0,0.00,0.0000,0.00030,-0.001093
not-recorded,0,0,0.00,0.0000,0.00290,-0.001108
not-recorded,0,0,0.00,0.0000,0.00000,0.000447
not-recorded,0,0,3.73,0.0000,0.00005,-0.001156
not-recorded,0,0,2.24,0.0000,0.00131,-0.000954
not-recorded,0,0,0.00,0.0140,0.00000,0.002593
not-recorded,0,0,0.00,0.0328,0.00000,-0.002042
not-recorded,0,0,0.39,0.0003,0.00000,0.000496
not-recorded,0,0,0.00,0.0076,0.00000,0.002619
not-recorded,0,0,0.68,0.0018,0.00000,-0.002704
not-recorded,0,0,0.00,0.0000,0.00000,-0.000092
not-recorded,0,0,3.39,0.0548,0.00000,0.000487
not-recorded,0,0,0.00,0.0000,0.00000,0.000734
not-recorded,0,0,0.00,0.0000,0.00047,-0.002419
not-recorded,0,0,0.00,0.0000,0.00018,-0.000939
not-recorded,0,0,1.29,0.0000,0.00086,-0.001100
not-recorded,0,0,0.47,0.0000,0.00169,-0.000378
not-recorded,0,0,1.63,0.0417,0.00112,0.001233
not-recorded,0,0,0.03,0.0000,0.00000,0.000276
not-recorded,0,0,1.85,0.0000,0.00000,0.001946
not-recorded,0,0,2.19,0.0003,0.00178,0.000510
not-recorded,0,0,4.58,0.0339,0.00000,-0.001725
not-recorded,0,0,0.00,0.0468,0.00000,-0.000947
not-recorded,0,0,4.59,0.0000,0.00000,-0.000417
not-recorded,0,0,0.00,0.0043,0.00047,0.000396
not-recorded,0,0,0.00,0.0213,0.00079,-0.000384
not-recorded,0,0,0.50,0.0373,0.00000,-0.000480
not-recorded,0,0,0.00,0.0000,0.00000,0.000930
not-recorded,0,0,1.38,0.0528,0.00000,-0.002009
not-recorded,0,0,2.73,0.0000,0.00405,0.001080
not-recorded,0,0,0.00,0.0000,0.00634,-0.002284
not-recorded,0,0,0.00,0.0117,0.00052,-0.000072
not-recorded,0,0,0.00,0.0000,0.00000,0.000231
not-recorded,0,0,0.00,0.0242,0.00172,-0.000658
not-recorded,0,0,0.90,0.0000,0.00000,-0.000094
not-recorded,0,0,0.84,0.0344,0.00000,-0.000687
not-recorded,0,0,1.32,0.0000,0.00454,-0.000408
not-recorded,0,0,1.97,0.0000,0.00233,0.000850
not-recorded,0,0,0.00,0.0106,0.00176,0.000914
not-recorded,0,0,2.47,0.0092,0.00000,-0.000210
not-recorded,0,0,0.00,0.0000,0.00000,0.001746
not-recorded,0,0,0.74,0.0000,0.00340,0.000894
not-recorded,0,0,2.70,0.0000,0.00000,0.000168
not-recorded,0,0,0.00,0.0000,0.00000,-0.000482
not-recorded,0,0,0.00,0.0000,0.00000,-0.000257
not-recorded,0,0,0.00,0.0062,0.00230,0.000560
not-recorded,0,0,1.60,0.0157,0.00000,-0.000810
not-recorded,0,0,0.00,0.0000,0.00000,0.001032
not-recorded,0,0,0.00,0.0245,0.00000,0.000255
not-recorded,0,0,2.36,0.0000,0.00000,-0.000289
not-recorded,0,0,0.00,0.0087,0.00000,0.000727
not-recorded,0,0,0.00,0.0134,0.00000,-0.000558
not-recorded,0,0,0.00,0.0517,0.00000,0.000080
not-recorded,0,0,0.00,0.0363,0.00000,0.001282
not-recorded,0,0,0.80,0.0000,0.00000,-0.001993
not-recorded,0,0,0.00,0.0000,0.00000,0.001429
not-recorded,0,0,2.67,0.0078,0.00000,-0.001366
not-recorded,0,0,0.14,0.0000,0.00472,-0.000363
not-recorded,0,0,0.00,0.0000,0.00000,0.001418
not-recorded,0,0,0.00,0.0167,0.00197,-0.000326
not-recorded,0,0,0.00,0.0000,0.00578,-0.000135
not-recorded,0,0,0.00,0.0390,0.00087,0.001336
not-recorded,0,0,3.35,0.0000,0.00337,0.001037
not-recorded,0,0,3.56,0.0048,0.00201,-0.000936
not-recorded,0,0,2.62,0.0000,0.00000,0.000376
not-recorded,0,0,0.00,0.0502,0.00000,-0.000189
not-recorded,0,0,1.15,0.0000,0.00714,0.000455
not-recorded,0,0,0.00,0.0484,0.00121,-0.001289
not-recorded,0,0,0.00,0.0875,0.00077,-0.000781
not-recorded,0,0,0.00,0.0000,0.00000,-0.000655
not-recorded,0,0,0.55,0.0373,0.00523,0.001799
not-recorded,0,0,4.33,0.0000,0.00246,-0.000103
not-recorded,0,0,1.53,0.0000,0.00246,-0.000201
not-recorded,0,0,0.00,0.0456,0.00000,-0.001794
not-recorded,0,0,0.00,0.0000,0.00520,0.000706
not-recorded,0,0,2.77,0.0003,0.00000,0.000600
not-recorded,0,0,0.00,0.0000,0.00000,-0.000060
not-recorded,0,0,0.00,0.0000,0.00000,0.000310
not-recorded,0,0,0.00,0.0005,0.00000,0.001009
not-recorded,0,0,3.19,0.0000,0.00000,0.000179
not-recorded,0,0,1.02,0.0201,0.00000,0.000966
not-recorded,0,0,0.42,0.0378,0.00284,-0.000150
not-recorded,0,0,0.00,0.0357,0.00486,-0.000194
not-recorded,0,0,4.20,0.0000,0.00107,-0.000554
not-recorded,0,0,0.00,0.0371,0.00064,0.001720
not-recorded,0,0,1.52,0.0000,0.00000,0.002351
not-recorded,0,0,1.60,0.0000,0.00000,0.001690
not-recorded,0,0,1.91,0.0236,0.00166,0.000495
not-recorded,0,0,3.36,0.0000,0.00000,0.000355
not-recorded,0,0,0.17,0.0395,0.00088,0.001370
not-recorded,0,0,0.00,0.0014,0.00098,0.002874
not-recorded,0,0,3.49,0.0000,0.00000,-0.001428
not-recorded,0,0,2.57,0.0038,0.00000,0.001544
not-recorded,0,0,0.13,0.0000,0.00000,0.001958
not-recorded,0,0,0.39,0.0000,0.00000,-0.002314
not-recorded,0,0,0.00,0.0000,0.00543,-0.001253
not-recorded,0,0,0.00,0.0685,0.00834,-0.000598
not-recorded,0,0,1.71,0.0103,0.00000,-0.002837
not-recorded,0,0,3.24,0.0000,0.00195,0.001112
not-recorded,0,0,0.00,0.0000,0.00362,0.001329
not-recorded,0,0,0.07,0.0000,0.00000,-0.001572
not-recorded,0,0,0.74,0.0350,0.00021,-0.001418
not-recorded,0,0,1.13,0.0000,0.00291,-0.000029
not-recorded,0,0,0.00,0.0034,0.00000,0.001421
not-recorded,0,0,0.00,0.0762,0.00000,-0.000597
not-recorded,0,0,0.00,0.0152,0.00000,-0.000486
not-recorded,0,0,0.00,0.0000,0.00229,0.000676
not-recorded,0,0,0.48,0.0175,0.00000,-0.000363
not-recorded,0,0,0.00,0.0000,0.00000,0.001248
not-recorded,0,0,0.00,0.0000,0.00000,-0.000592
not-recorded,0,0,0.00,0.0328,0.00000,0.000832
not-recorded,0,0,0.00,0.0000,0.00202,0.001219
not-recorded,0,0,0.00,0.0000,0.00000,0.001151
not-recorded,0,0,0.00,0.0140,0.00311,-0.002204
not-recorded,0,0,3.32,0.0000,0.00680,-0.000142
not-recorded,0,0,2.54,0.0270,0.00162,0.000332
not-recorded,0,0,0.00,0.0443,0.00000,-0.001199
not-recorded,0,0,2.15,0.0000,0.00185,-0.001420
not-recorded,0,0,3.42,0.0209,0.00076,-0.000021
not-recorded,0,0,0.78,0.0376,0.00103,-0.001036
not-recorded,0,0,0.28,0.0172,0.00029,0.000274
not-recorded,0,0,1.28,0.0000,0.00000,-0.001960
not-recorded,0,0,0.11,0.0000,0.00000,0.000199
not-recorded,0,0,2.19,0.0702,0.00000,0.002266
not-recorded,0,0,1.18,0.0000,0.00068,0.000687
not-recorded,0,0,0.00,0.0324,0.00000,-0.000264
not-recorded,0,0,0.09,0.0000,0.00096,0.000787
not-recorded,0,0,1.84,0.0000,0.00000,0.000005
not-recorded,0,0,0.00,0.0135,0.00000,0.001103
not-recorded,0,0,0.00,0.0000,0.00375,0.001058
not-recorded,0,0,0.00,0.0157,0.00160,-0.000819
not-recorded,0,0,2.57,0.0000,0.00000,-0.000999
not-recorded,0,0,2.82,0.0298,0.00000,-0.000735
not-recorded,0,0,0.00,0.0000,0.00000,0.000288
not-recorded,0,0,3.92,0.0000,0.00000,0.001546
not-recorded,0,0,1.04,0.0000,0.00023,0.001414
not-recorded,0,0,0.00,0.0000,0.00736,0.000951
not-recorded,0,0,1.88,0.0000,0.00052,-0.000483
not-recorded,0,0,0.00,0.0421,0.00409,-0.000689
not-recorded,0,0,0.00,0.0000,0.00094,0.001262
not-recorded,0,0,0.44,0.0000,0.00000,0.000735
not-recorded,0,0,0.00,0.0130,0.00001,-0.000579
not-recorded,0,0,0.00,0.0138,0.00000,-0.000157
not-recorded,0,0,2.52,0.0004,0.00119,0.000607
not-recorded,0,0,0.00,0.0206,0.00000,0.001415
not-recorded,0,0,2.18,0.0255,0.00422,-0.000124
not-recorded,0,0,0.00,0.0217,0.00610,0.002739
not-recorded,0,0,0.00,0.0000,0.00011,0.001417
not-recorded,0,0,0.00,0.0000,0.00455,-0.000159
not-recorded,0,0,3.28,0.0218,0.00190,-0.000552
not-recorded,0,0,0.38,0.0043,0.00081,0.001517
not-recorded,0,0,0.92,0.0140,0.00429,0.001610
not-recorded,0,0,4.34,0.0000,0.00000,-0.000486
not-recorded,0,0,0.00,0.0453,0.00092,0.000662
not-recorded,0,0,2.64,0.0241,0.00000,-0.000388
not-recorded,0,0,3.80,0.0125,0.00033,0.000947
not-recorded,0,0,0.00,0.0090,0.00000,-0.000518
not-recorded,0,0,2.39,0.0444,0.00000,-0.000452
not-recorded,0,0,0.00,0.0000,0.00000,-0.000827
not-recorded,0,0,3.24,0.0304,0.00527,-0.000345
not-recorded,0,0,0.00,0.0247,0.00000,0.000285
not-recorded,0,0,1.00,0.0000,0.00000,0.000553
not-recorded,0,0,0.00,0.0000,0.00097,0.000122
not-recorded,0,0,0.00,0.0000,0.00000,-0.000540
not-recorded,0,0,0.00,0.0183,0.00000,0.000578
not-recorded,0,0,0.00,0.0117,0.00000,0.001020
not-recorded,0,0,0.00,0.0000,0.00000,-0.000757
not-recorded,0,0,0.00,0.0000,0.00000,-0.001002
not-recorded,0,0,0.00,0.0528,0.00000,0.000772
not-recorded,0,0,0.72,0.0410,0.00000,-0.000517
not-recorded,0,0,0.00,0.0225,0.00000,0.001418
not-recorded,0,0,0.00,0.0000,0.00108,-0.002137
not-recorded,0,0,1.21,0.0000,0.00000,0.000032
not-recorded,0,0,0.00,0.0000,0.00013,0.000319
not-recorded,0,0,0.28,0.0000,0.00280,-0.000322
not-recorded,0,0,0.00,0.0309,0.00000,-0.001272
not-recorded,0,0,0.00,0.0000,0.00000,0.001527
not-recorded,0,0,1.15,0.0027,0.00000,0.000783
not-recorded,0,0,0.89,0.0000,0.00000,0.000032
not-recorded,0,0,2.08,0.0120,0.00000,-0.000819
not-recorded,0,0,0.00,0.0059,0.00000,-0.000146
not-recorded,0,0,0.00,0.0154,0.00810,0.000217
not-recorded,0,0,0.00,0.0000,0.00000,0.001013
not-recorded,0,0,0.00,0.0211,0.00008,-0.000447
not-recorded,0,0,0.00,0.0406,0.00538,-0.000375
not-recorded,0,0,0.00,0.0000,0.00000,0.000443
not-recorded,0,0,2.90,0.0000,0.00487,0.000295
not-recorded,0,0,0.00,0.0127,0.00000,0.000287
not-recorded,0,0,3.10,0.0550,0.00000,0.000406
not-recorded,0,0,0.00,0.0000,0.00000,-0.000075
not-recorded,0,0,0.00,0.0000,0.00068,0.000391
not-recorded,0,0,1.92,0.0752,0.00000,-0.001073
not-recorded,0,0,2.86,0.0196,0.00129,-0.001431
not-recorded,0,0,0.00,0.0367,0.00500,-0.001418
not-recorded,0,0,0.00,0.0000,0.00000,0.001395
not-recorded,0,0,0.00,0.0266,0.00000,0.001454
not-recorded,0,0,0.00,0.0000,0.00000,0.000055
not-recorded,0,0,0.74,0.0443,0.00032,0.000236
not-recorded,0,0,0.00,0.0000,0.00000,-0.000374
not-recorded,0,0,0.00,0.0454,0.00000,0.000501
not-recorded,0,0,0.00,0.0617,0.00280,-0.000742
not-recorded,0,0,0.66,0.0000,0.00527,-0.001902
not-recorded,0,0,3.00,0.0042,0.00000,0.001966
not-recorded,0,0,0.00,0.0000,0.00000,-0.000541
not-recorded,0,0,0.00,0.0251,0.00024,-0.000880
not-recorded,0,0,0.00,0.0743,0.00462,-0.001447
not-recorded,0,0,0.00,0.0000,0.00000,-0.001936
not-recorded,0,0,0.15,0.0000,0.00000,0.001642
not-recorded,0,0,0.00,0.0000,0.00640,0.001507
not-recorded,0,0,1.56,0.0000,0.00000,0.000213
not-recorded,0,0,0.38,0.0482,0.00684,-0.000512
not-recorded,0,0,0.00,0.0000,0.00708,-0.001562
not-recorded,0,0,0.00,0.0373,0.00799,-0.000343
not-recorded,0,0,0.97,0.0000,0.00090,-0.000472
not-recorded,0,0,2.12,0.0000,0.00115,0.000300
not-recorded,0,0,1.32,0.0149,0.00160,0.000316
not-recorded,0,0,0.00,0.0000,0.00000,-0.002267
not-recorded,0,0,0.01,0.0000,0.00139,-0.001054
not-recorded,0,0,0.00,0.0153,0.00000,-0.001320
not-recorded,0,0,1.62,0.0000,0.00000,0.002038
not-recorded,0,0,0.00,0.0131,0.00000,-0.001693
not-recorded,0,0,0.00,0.0000,0.00000,0.000937
not-recorded,0,0,2.85,0.0138,0.00000,0.000562
not-recorded,0,0,0.00,0.0219,0.00374,-0.000548
not-recorded,0,0,0.25,0.0005,0.00146,0.001879
not-recorded,0,0,0.00,0.0000,0.00765,-0.000212
not-recorded,0,0,0.00,0.0000,0.00181,-0.000121
not-recorded,0,0,0.00,0.0000,0.00000,-0.002945
not-recorded,0,0,0.00,0.0000,0.00000,0.000538
not-recorded,0,0,0.29,0.0103,0.00259,0.000658
not-recorded,0,0,3.40,0.0085,0.00000,-0.000252
not-recorded,0,0,1.38,0.0501,0.00000,0.001103
not-recorded,0,0,0.00,0.0000,0.00000,0.000421
not-recorded,0,0,0.00,0.0000,0.00079,-0.000044
not-recorded,0,0,2.30,0.0000,0.00271,0.000837
not-recorded,0,0,0.00,0.0010,0.00049,-0.000067
not-recorded,0,0,0.00,0.0000,0.00000,0.000901
not-recorded,0,0,0.02,0.0039,0.00793,-0.000492
not-recorded,0,0,0.85,0.0537,0.00000,-0.000981
not-recorded,0,0,0.00,0.0499,0.00000,0.001854
not-recorded,0,0,5.40,0.0376,0.00073,-0.000060
not-recorded,0,0,0.00,0.0321,0.00000,-0.000798
not-recorded,0,0,3.28,0.0409,0.00000,0.000193
not-recorded,0,0,0.00,0.0000,0.00621,0.001854
not-recorded,0,0,0.00,0.0089,0.00000,-0.000491
not-recorded,0,0,0.00,0.0000,0.00000,0.000077
not-recorded,0,0,0.00,0.0652,0.00000,0.000435
not-recorded,0,0,2.98,0.0000,0.00621,0.001087
not-recorded,0,0,2.07,0.0000,0.00237,0.001084
not-recorded,0,0,0.40,0.0426,0.00013,0.001070
not-recorded,0,0,0.00,0.0072,0.00000,-0.002294
not-recorded,0,0,0.00,0.0621,0.00000,-0.000035
not-recorded,0,0,0.53,0.0067,0.00000,0.002238
not-recorded,0,0,2.61,0.0058,0.00160,-0.001578
not-recorded,0,0,0.00,0.0000,0.00000,-0.000998
not-recorded,0,0,1.05,0.0105,0.00000,-0.001630
not-recorded,0,0,0.00,0.0000,0.00500,-0.001159
not-recorded,0,0,0.00,0.0334,0.00242,0.000860
not-recorded,0,0,0.00,0.0373,0.00000,-0.002569
not-recorded,0,0,1.80,0.0000,0.00280,0.001021
not-recorded,0,0,0.00,0.0000,0.00286,0.001591
not-recorded,0,0,0.53,0.0466,0.00331,-0.000928
not-recorded,0,0,0.00,0.0370,0.00099,-0.000133
not-recorded,0,0,0.64,0.0000,0.00000,0.000168
not-recorded,0,0,1.45,0.0026,0.00000,0.001217
not-recorded,0,0,0.00,0.0137,0.00268,-0.000337
not-recorded,0,0,0.00,0.0000,0.00564,-0.001279
not-recorded,0,0,0.00,0.0637,0.00000,0.001669
not-recorded,0,0,0.00,0.0000,0.00200,0.001016
not-recorded,0,0,2.93,0.0763,0.00000,-0.000469
not-recorded,0,0,0.00,0.0102,0.00360,0.001735
not-recorded,0,0,1.15,0.0224,0.00378,0.000804
not-recorded,0,0,0.00,0.0000,0.00187,0.002732
not-recorded,0,0,2.15,0.0000,0.00050,0.000569
not-recorded,0,0,1.59,0.0423,0.00000,0.000741
not-recorded,0,0,1.22,0.0199,0.00000,-0.000320
not-recorded,0,0,3.18,0.0703,0.00498,-0.001302
not-recorded,0,0,0.94,0.0000,0.00401,0.001139
not-recorded,0,0,0.00,0.0000,0.00227,0.001118
not-recorded,0,0,0.00,0.0000,0.00384,-0.000710
not-recorded,0,0,0.98,0.0000,0.00006,0.000919
not-recorded,0,0,0.00,0.0260,0.00013,0.000667
not-recorded,0,0,0.00,0.0162,0.00080,-0.000395
not-recorded,0,0,2.05,0.0000,0.00000,-0.000427
