time_s,Test_ID,command_pct,rpm,thrust_n,torque_nm,shaft_power_w,voltage_v,current_a,electrical_power_w,motor_temp_c,esc_temp_c,vibration_x_g,vibration_y_g,vibration_z_g,airflow_mps,ambient_temp_c
0.105469,0,0,0.00,0.0000,0.00071,0.00,50.290,1.186,59.62,22.021,22.018,0.002516,0.005763,0.001436,0.028,22.002
0.109375,0,0,0.00,0.0000,0.00012,0.00,50.322,1.154,58.05,22.021,22.018,0.003403,0.003791,0.001552,0.000,22.002
0.113281,0,0,0.00,0.0000,0.00055,0.00,50.292,1.208,60.74,22.022,22.019,0.000469,0.004954,0.004471,0.000,22.002
0.117188,0,0,0.00,0.0182,0.01087,0.00,50.316,1.166,58.65,22.023,22.020,0.003007,0.005192,0.003085,0.076,22.002
0.121094,0,0,0.00,0.0000,0.00205,0.00,50.299,1.200,60.36,22.024,22.020,0.002225,0.004462,0.002249,0.089,22.002
0.125000,0,0,0.00,0.0505,0.00000,0.00,50.334,1.182,59.51,22.024,22.021,0.000136,0.007506,0.001762,0.000,22.002
0.128906,0,0,2.63,0.0000,0.00000,0.00,50.290,1.193,60.02,22.025,22.022,0.002619,0.005266,0.000881,0.000,22.002
0.132813,0,0,4.24,0.0290,0.00210,0.00,50.310,1.061,53.36,22.026,22.022,0.004068,0.004302,0.004172,0.100,22.002
0.136719,0,0,0.00,0.0041,0.00000,0.00,50.284,1.103,55.44,22.026,22.023,0.002473,0.003461,0.001309,0.118,22.002
0.140625,0,0,1.30,0.0000,0.00000,0.00,50.281,1.230,61.84,22.027,22.024,0.003872,0.004058,0.000999,0.067,22.002
0.144531,0,0,0.00,0.0000,0.00000,0.00,50.316,1.152,57.94,22.028,22.024,0.002343,0.001770,0.002109,0.000,22.002
0.148438,0,0,1.88,0.0000,0.00000,0.00,50.323,1.067,53.70,22.028,22.025,0.000233,0.008029,0.000079,0.010,22.002
0.152344,0,0,0.00,0.0413,0.00339,0.00,50.268,1.214,61.04,22.029,22.025,0.002565,0.005034,0.000291,0.000,22.003
0.156250,0,0,0.00,0.0408,0.00000,0.00,50.300,1.172,58.94,22.030,22.026,0.000379,0.003714,0.002277,0.000,22.003
0.160156,0,0,0.00,0.0472,0.00000,0.00,50.313,1.114,56.04,22.031,22.027,0.000299,0.004102,0.000735,0.050,22.003
0.164063,0,0,0.00,0.0807,0.00000,0.00,50.301,1.141,57.37,22.031,22.027,0.001652,0.005901,0.003266,0.000,22.003
0.167969,0,0,0.00,0.0671,0.00000,0.00,50.298,1.244,62.58,22.032,22.028,0.002455,0.004695,-0.000321,0.018,22.003
0.171875,0,0,1.50,0.0000,0.00000,0.00,50.307,1.211,60.90,22.033,22.029,0.000044,0.005490,-0.000426,0.000,22.003
0.175781,0,0,1.43,0.0068,0.00617,0.00,50.295,1.096,55.10,22.034,22.029,0.002763,0.002231,-0.000324,0.092,22.003
0.179688,0,0,2.32,0.0000,0.00000,0.00,50.286,1.228,61.77,22.034,22.030,-0.000279,0.007094,0.003069,0.000,22.003
0.183594,0,0,6.31,0.0000,0.00000,0.00,50.291,1.198,60.23,22.035,22.030,0.003297,0.004460,0.003344,0.000,22.003
0.187500,0,0,0.00,0.0855,0.00000,0.00,50.326,1.090,54.85,22.036,22.031,0.001041,0.002651,0.002126,0.000,22.003
0.191406,0,0,0.14,0.0442,0.00000,0.00,50.328,1.245,62.65,22.037,22.032,0.002454,0.000482,0.000250,0.000,22.003
0.195313,0,0,2.13,0.0788,0.00437,0.00,50.305,1.106,55.63,22.037,22.032,0.000172,0.002925,0.001991,0.096,22.003
0.199219,0,0,0.00,0.1040,0.00829,0.00,50.311,1.169,58.83,22.038,22.033,0.000092,0.003523,0.000985,0.000,22.003
0.203125,0,0,0.00,0.0000,0.00226,0.00,50.319,1.045,52.59,22.039,22.033,-0.003165,0.002478,0.001144,0.086,22.003
0.207031,0,0,0.00,0.1126,0.00000,0.00,50.301,1.182,59.44,22.039,22.034,0.001089,0.004593,0.002829,0.017,22.003
0.210938,0,0,0.00,0.1069,0.00633,0.00,50.297,1.071,53.87,22.040,22.035,0.000906,0.006479,0.001754,0.000,22.004
0.214844,0,0,5.49,0.0017,0.00000,0.00,50.327,1.134,57.06,22.041,22.035,0.000785,0.001024,0.001956,0.000,22.004
0.218750,0,0,4.04,0.0000,0.00000,0.00,50.312,1.140,57.34,22.041,22.036,0.003116,0.005005,0.002518,0.000,22.004
0.222656,0,0,2.60,0.0078,0.01319,0.00,50.287,1.162,58.44,22.042,22.036,0.005392,0.003854,0.000163,0.022,22.004
0.226563,0,0,0.00,0.0059,0.00545,0.00,50.307,1.279,64.36,22.043,22.037,0.000930,0.004011,0.001925,0.046,22.004
0.230469,0,0,3.24,0.0000,0.00411,0.00,50.296,1.156,58.14,22.044,22.038,0.005455,0.002453,0.002264,0.062,22.004
0.234375,0,0,2.11,0.0789,0.00224,0.00,50.312,1.046,52.64,22.044,22.038,0.003050,0.002158,0.000984,0.131,22.004
0.238281,0,0,0.00,0.0000,0.00000,0.00,50.310,1.077,54.17,22.045,22.039,0.002303,0.003925,0.000343,0.000,22.004
0.242188,0,0,1.60,0.0554,0.00010,0.00,50.296,1.120,56.31,22.046,22.040,0.002662,0.004707,0.003565,0.000,22.004
0.246094,0,0,3.61,0.0000,0.00090,0.00,50.315,1.191,59.94,22.046,22.040,0.002648,0.005402,0.001507,0.098,22.004
0.250000,0,0,0.70,0.0437,0.00000,0.00,50.306,1.233,62.04,22.047,22.041,0.000412,0.007106,0.001899,0.000,22.004
0.253906,0,0,0.00,0.0123,0.00582,0.00,50.294,1.254,63.08,22.048,22.041,-0.001631,0.004028,0.000374,0.000,22.004
0.257813,0,0,0.00,0.0000,0.00000,0.00,50.299,1.097,55.16,22.049,22.042,0.001950,0.001137,-0.000609,0.118,22.004
0.261719,0,0,0.00,0.0000,0.00000,0.00,50.295,1.110,55.81,22.049,22.043,-0.000200,0.004875,-0.000114,0.000,22.004
0.265625,0,0,3.05,0.0808,0.00000,0.00,50.311,1.097,55.21,22.050,22.043,0.000934,0.006052,0.001773,0.020,22.004
0.269531,0,0,0.23,0.0560,0.00363,0.00,50.320,1.099,55.32,22.051,22.044,0.002416,0.005716,0.002541,0.000,22.004
0.273438,0,0,0.00,0.0086,0.00590,0.00,50.333,1.131,56.93,22.051,22.044,0.002218,0.001582,0.003030,0.000,22.005
0.277344,0,0,0.84,0.0629,0.00392,0.00,50.309,1.251,62.94,22.052,22.045,0.004039,0.007033,0.002385,0.000,22.005
0.281250,0,0,1.00,0.0000,0.00137,0.00,50.317,1.257,63.24,22.053,22.046,0.002976,0.006234,-0.000911,0.039,22.005
0.285156,0,0,0.74,0.0000,0.00000,0.00,50.319,1.202,60.50,22.054,22.046,0.000684,0.003120,0.000567,0.057,22.005
0.289063,0,0,0.05,0.0262,0.00057,0.00,50.311,1.099,55.30,22.054,22.047,-0.000144,0.002583,0.001508,0.000,22.005
0.292969,0,0,0.00,0.0150,0.00000,0.00,50.324,1.083,54.50,22.055,22.047,0.000980,0.002316,0.000800,0.000,22.005
0.296875,0,0,0.00,0.0298,0.00263,0.00,50.325,1.145,57.64,22.056,22.048,0.001575,0.001062,0.003141,0.128,22.005
0.300781,0,0,1.88,0.0080,0.00753,0.00,50.309,1.234,62.07,22.056,22.049,0.003916,0.001457,0.002580,0.123,22.005
0.304688,0,0,0.00,0.0583,0.00000,0.00,50.297,1.169,58.81,22.057,22.049,0.000969,0.002286,0.001746,0.011,22.005
0.308594,0,0,2.94,0.0460,0.00071,0.00,50.309,1.134,57.07,22.058,22.050,0.002846,0.003244,0.001160,0.002,22.005
0.312500,0,0,0.17,0.0000,0.00804,0.00,50.308,1.091,54.91,22.058,22.050,0.004654,0.000248,0.001580,0.019,22.005
0.316406,0,0,2.57,0.0693,0.00000,0.00,50.318,1.353,68.07,22.059,22.051,0.001154,0.003770,0.002829,0.000,22.005
0.320313,0,0,0.00,0.0063,0.00013,0.00,50.319,1.215,61.15,22.060,22.052,0.001670,0.001167,0.000671,0.000,22.005
0.324219,0,0,0.38,0.0000,0.00344,0.00,50.316,1.201,60.45,22.061,22.052,-0.001386,0.003427,0.003668,0.000,22.005
0.328125,0,0,3.83,0.0742,0.00000,0.00,50.307,1.212,60.97,22.061,22.053,0.002215,0.001586,0.004712,0.003,22.005
0.332031,0,0,0.00,0.0000,0.00295,0.00,50.326,1.099,55.33,22.062,22.054,0.000548,0.002354,0.000652,0.030,22.006
0.335938,0,0,5.81,0.0000,0.00445,0.00,50.292,1.193,59.99,22.063,22.054,0.002676,0.005649,0.003826,0.000,22.006
0.339844,0,0,0.00,0.0191,0.00000,0.00,50.309,1.069,53.76,22.063,22.055,0.000263,0.000420,0.003951,0.037,22.006
0.343750,0,0,0.00,0.0031,0.00000,0.00,50.295,1.236,62.14,22.064,22.055,0.000305,0.005209,-0.000504,0.000,22.006
0.347656,0,0,0.00,0.0000,0.00399,0.00,50.294,1.222,61.48,22.065,22.056,0.001858,0.003284,0.001395,0.000,22.006
0.351563,0,0,1.02,0.0026,0.00952,0.00,50.297,1.167,58.68,22.066,22.057,-0.002659,0.001259,0.000807,0.021,22.006
0.355469,0,0,0.00,0.0000,0.00085,0.00,50.300,1.125,56.57,22.066,22.057,0.001844,0.001786,0.003230,0.000,22.006
0.359375,0,0,1.57,0.0000,0.00056,0.00,50.305,1.254,63.06,22.067,22.058,0.003893,0.006350,0.003178,0.023,22.006
0.363281,0,0,2.65,0.0896,0.00000,0.00,50.315,1.051,52.86,22.068,22.059,0.002567,0.004138,0.001198,0.000,22.006
0.367188,0,0,0.15,0.0000,0.00000,0.00,50.295,1.244,62.58,22.068,22.059,-0.000847,0.003312,0.000262,0.019,22.006
0.371094,0,0,0.50,0.0000,0.00000,0.00,50.288,1.100,55.32,22.069,22.060,0.002418,0.001926,0.001384,0.047,22.006
0.375000,0,0,1.80,0.0000,0.00007,0.00,50.305,1.134,57.02,22.070,22.060,0.003622,0.002766,0.002966,0.096,22.006
0.378906,0,0,0.00,0.0332,0.00284,0.00,50.323,1.114,56.03,22.070,22.061,0.003043,0.004249,0.001257,0.000,22.006
0.382813,0,0,2.92,0.0571,0.00169,0.00,50.328,1.065,53.60,22.071,22.061,0.000680,0.001037,0.003575,0.044,22.006
0.386719,0,0,0.00,0.0000,0.00000,0.00,50.301,1.053,52.95,22.072,22.062,0.000256,0.001918,0.000631,0.000,22.006
0.390625,0,0,1.66,0.0000,0.00000,0.00,50.298,1.314,66.09,22.073,22.063,0.001672,0.003325,0.000069,0.015,22.007
0.394531,0,0,4.94,0.0286,0.00659,0.00,50.316,1.185,59.60,22.073,22.063,0.004127,0.003158,0.003964,0.141,22.007
0.398438,0,0,3.91,0.0197,0.00000,0.00,50.277,1.117,56.15,22.074,22.064,0.002818,0.003139,0.000963,0.000,22.007
0.402344,0,0,0.00,0.0000,0.00582,0.00,50.290,1.156,58.14,22.075,22.064,0.000831,0.003305,0.001798,0.000,22.007
0.406250,0,0,0.00,0.0593,0.00000,0.00,50.297,1.064,53.51,22.075,22.065,0.002248,0.004256,0.001525,0.078,22.007
0.410156,0,0,1.09,0.0233,0.00000,0.00,50.342,1.130,56.87,22.076,22.066,0.000486,0.006621,-0.000219,0.152,22.007
0.414063,0,0,1.30,0.0203,0.00087,0.00,50.316,1.064,53.56,22.077,22.066,-0.000900,0.005623,-0.000032,0.000,22.007
0.417969,0,0,2.50,0.0304,0.00526,0.00,50.324,1.126,56.67,22.077,22.067,0.002783,0.001373,0.001549,0.085,22.007
0.421875,0,0,0.00,0.0000,0.00000,0.00,50.319,1.084,54.56,22.078,22.067,0.002965,0.001621,0.000570,0.000,22.007
0.425781,0,0,7.92,0.0158,0.00100,0.00,50.301,1.255,63.11,22.079,22.068,0.006001,0.001671,0.001316,0.038,22.007
0.429688,0,0,3.58,0.0398,0.00000,0.00,50.301,1.178,59.26,22.079,22.068,0.001808,0.005445,0.001657,0.000,22.007
0.433594,0,0,0.00,0.0880,0.00633,0.00,50.297,1.148,57.76,22.080,22.069,-0.001671,0.003014,0.001218,0.043,22.007
0.437500,0,0,0.00,0.0000,0.00553,0.00,50.308,1.091,54.88,22.081,22.070,0.001861,0.004160,0.000800,0.019,22.007
0.441406,0,0,5.29,0.0000,0.00000,0.00,50.302,1.090,54.85,22.081,22.070,0.003558,0.004000,0.002097,0.000,22.007
0.445313,0,0,4.53,0.0000,0.00442,0.00,50.311,1.152,57.96,22.082,22.071,0.004799,0.003151,0.003637,0.000,22.007
0.449219,0,0,1.74,0.0434,0.00671,0.00,50.306,1.209,60.84,22.083,22.071,0.002958,0.004642,0.000627,0.000,22.007
0.453125,0,0,3.48,0.0582,0.00000,0.00,50.317,1.096,55.17,22.083,22.072,0.002150,0.001120,0.003961,0.114,22.008
0.457031,0,0,2.06,0.0000,0.00000,0.00,50.295,1.173,59.00,22.084,22.073,0.002437,0.001769,0.003390,0.000,22.008
0.460938,0,0,5.38,0.0275,0.00000,0.00,50.310,1.137,57.22,22.085,22.073,0.005422,0.003197,0.001424,0.036,22.008
0.464844,0,0,3.74,0.0287,0.00000,0.00,50.304,1.200,60.38,22.086,22.074,0.001335,0.004125,0.000830,0.000,22.008
0.468750,0,0,0.00,0.0467,0.00000,0.00,50.303,1.176,59.17,22.086,22.074,0.000572,0.002135,-0.000408,0.000,22.008
0.472656,0,0,1.67,0.0135,0.00824,0.00,50.315,1.180,59.38,22.087,22.075,0.000931,0.003146,0.003193,0.000,22.008
0.476563,0,0,2.62,0.0901,0.00114,0.00,50.307,1.113,55.99,22.088,22.076,-0.001027,0.006098,0.001889,0.124,22.008
0.480469,0,0,1.42,0.0187,0.00000,0.00,50.309,1.263,63.55,22.088,22.076,-0.000960,0.008064,0.000948,0.024,22.008
0.484375,0,0,0.00,0.0385,0.00000,0.00,50.288,1.087,54.65,22.089,22.077,0.002640,0.004243,-0.000339,0.140,22.008
0.488281,0,0,1.91,0.0745,0.00541,0.00,50.299,1.157,58.21,22.090,22.077,0.001452,0.002997,0.003582,0.000,22.008
0.492188,0,0,0.00,0.0294,0.00214,0.00,50.308,1.134,57.07,22.090,22.078,0.000091,0.005759,0.001875,0.103,22.008
0.496094,0,0,0.00,0.0055,0.00000,0.00,50.314,1.130,56.85,22.091,22.078,0.000496,0.002893,0.002911,0.000,22.008
0.500000,0,0,0.00,0.0500,0.00000,0.00,50.312,1.041,52.37,22.092,22.079,0.002571,0.000339,0.000363,0.000,22.008
0.503906,0,0,5.91,0.0623,0.00273,0.00,50.286,1.189,59.77,22.092,22.080,0.001904,0.005327,0.001982,0.000,22.008
0.507813,0,0,0.00,0.0000,0.00157,0.00,50.297,1.113,55.97,22.093,22.080,-0.000444,0.002165,0.001486,0.062,22.008
0.511719,0,0,0.00,0.0039,0.00192,0.00,50.325,1.098,55.25,22.094,22.081,0.000759,0.004603,0.001891,0.087,22.009
0.515625,0,0,2.86,0.0267,0.00000,0.00,50.296,1.091,54.87,22.094,22.081,0.001621,0.003122,0.002277,0.058,22.009
0.519531,0,0,3.06,0.0611,0.00224,0.00,50.272,1.131,56.87,22.095,22.082,0.002824,0.002705,0.002516,0.000,22.009
0.523438,0,0,0.00,0.0000,0.00763,0.00,50.304,1.098,55.22,22.096,22.082,0.000902,0.005052,0.002438,0.095,22.009
0.527344,0,0,0.00,0.0448,0.00484,0.00,50.319,1.020,51.32,22.096,22.083,-0.001887,0.002184,0.001388,0.020,22.009
0.531250,0,0,2.63,0.0000,0.00712,0.00,50.321,1.128,56.76,22.097,22.083,0.001079,0.008284,0.001948,0.141,22.009
0.535156,0,0,0.00,0.0833,0.00000,0.00,50.317,1.086,54.65,22.098,22.084,0.000108,0.005155,0.002240,0.000,22.009
0.539063,0,0,0.00,0.0088,0.00000,0.00,50.338,1.217,61.24,22.098,22.085,0.002663,0.005457,0.002989,0.000,22.009
0.542969,0,0,0.00,0.0000,0.00255,0.00,50.312,1.146,57.67,22.099,22.085,0.001704,0.002641,0.001932,0.019,22.009
0.546875,0,0,3.06,0.0000,0.00000,0.00,50.324,1.105,55.61,22.100,22.086,0.001536,0.003219,0.000167,0.000,22.009
0.550781,0,0,2.25,0.0970,0.00000,0.00,50.300,1.010,50.81,22.100,22.086,0.000547,0.005459,0.004013,0.000,22.009
0.554688,0,0,0.48,0.0087,0.00317,0.00,50.295,1.206,60.65,22.101,22.087,0.001815,0.001206,0.000440,0.026,22.009
0.558594,0,0,2.50,0.0459,0.00000,0.00,50.303,1.182,59.46,22.102,22.087,0.001419,0.004526,0.005669,0.015,22.009
0.562500,0,0,1.09,0.0000,0.00000,0.00,50.311,1.165,58.63,22.102,22.088,0.000955,0.004444,0.000805,0.000,22.009
0.566406,0,0,0.00,0.0000,0.00000,0.00,50.295,1.050,52.81,22.103,22.088,0.004162,0.003463,0.002133,0.000,22.009
0.570313,0,0,1.55,0.0000,0.00237,0.00,50.300,1.189,59.81,22.104,22.089,0.004436,0.001452,-0.000462,0.016,22.010
0.574219,0,0,0.00,0.0000,0.00000,0.00,50.322,1.119,56.31,22.104,22.090,-0.000506,0.005609,0.000711,0.000,22.010
0.578125,0,0,3.02,0.0240,0.00317,0.00,50.303,1.220,61.35,22.105,22.090,0.004431,0.003402,0.002255,0.000,22.010
0.582031,0,0,4.77,0.0927,0.00440,0.00,50.305,1.180,59.35,22.106,22.091,0.003615,0.003932,0.003550,0.037,22.010
0.585938,0,0,2.11,0.0000,0.00397,0.00,50.298,1.184,59.53,22.106,22.091,0.001271,0.007232,0.001695,0.000,22.010
0.589844,0,0,0.00,0.0167,0.00231,0.00,50.313,1.082,54.43,22.107,22.092,0.001655,0.002563,0.000026,0.000,22.010
0.593750,0,0,0.00,0.0900,0.00013,0.00,50.303,1.207,60.73,22.108,22.093,0.001047,0.003348,0.003280,0.090,22.010
0.597656,0,0,6.79,0.0374,0.00000,0.00,50.282,1.249,62.78,22.108,22.093,0.001805,0.009183,0.002332,0.085,22.010
0.601563,0,0,0.00,0.1028,0.00000,0.00,50.290,1.237,62.19,22.109,22.094,0.002285,0.005283,0.000107,0.000,22.010
0.605469,0,0,0.62,0.0000,0.00109,0.00,50.269,1.202,60.41,22.110,22.094,0.005659,0.006465,0.001937,0.000,22.010
0.609375,0,0,2.95,0.0000,0.00000,0.00,50.315,1.142,57.44,22.111,22.095,0.003530,0.007454,0.002714,0.001,22.010
0.613281,0,0,2.60,0.0222,0.00000,0.00,50.301,1.266,63.68,22.111,22.096,0.004355,0.005048,0.003619,0.000,22.010
0.617188,0,0,0.33,0.0272,0.00000,0.00,50.292,1.215,61.09,22.112,22.096,0.001861,0.004956,0.001730,0.000,22.010
0.621094,0,0,0.00,0.0759,0.00000,0.00,50.315,1.158,58.25,22.113,22.097,0.003735,0.003593,0.003984,0.056,22.010
0.625000,0,0,0.00,0.0431,0.00000,0.00,50.290,1.257,63.20,22.113,22.097,0.001669,0.002626,0.002738,0.050,22.010
0.628906,0,0,0.00,0.0000,0.01190,0.00,50.319,1.194,60.08,22.114,22.098,0.000612,0.005637,-0.000538,0.106,22.010
0.632813,0,0,1.19,0.0349,0.00024,0.00,50.298,1.221,61.40,22.115,22.099,0.001160,0.005224,0.003696,0.000,22.011
0.636719,0,0,0.00,0.0604,0.00000,0.00,50.316,1.150,57.87,22.116,22.099,0.001610,0.004807,0.000411,0.000,22.011
0.640625,0,0,0.38,0.0000,0.00455,0.00,50.278,1.186,59.65,22.116,22.100,0.000487,0.001896,0.000960,0.000,22.011
0.644531,0,0,5.80,0.0000,0.00000,0.00,50.294,1.081,54.36,22.117,22.100,0.001614,0.009026,0.002524,0.000,22.011
0.648438,0,0,0.31,0.0117,0.00282,0.00,50.302,1.081,54.37,22.117,22.101,0.001783,0.004225,0.001116,0.000,22.011
0.652344,0,0,0.00,0.0580,0.00790,0.00,50.314,1.127,56.71,22.118,22.101,-0.000468,0.000531,0.001629,0.000,22.011
0.656250,0,0,0.00,0.0065,0.00000,0.00,50.278,1.126,56.63,22.119,22.102,0.000811,0.004223,0.001480,0.079,22.011
0.660156,0,0,2.64,0.0000,0.00980,0.00,50.313,1.050,52.82,22.119,22.102,0.004078,0.004589,0.003592,0.131,22.011
0.664063,0,0,0.00,0.0000,0.00317,0.00,50.295,1.199,60.30,22.120,22.103,0.002073,0.002389,0.003015,0.000,22.011
0.667969,0,0,4.28,0.0000,0.00354,0.00,50.291,1.193,60.00,22.121,22.104,0.003419,0.004862,0.002631,0.000,22.011
0.671875,0,0,0.00,0.0000,0.00000,0.00,50.327,1.232,61.99,22.121,22.104,-0.001554,0.002913,0.002719,0.135,22.011
0.675781,0,0,0.00,0.0000,0.00000,0.00,50.285,1.110,55.80,22.122,22.105,0.001821,0.002222,0.001129,0.025,22.011
0.679688,0,0,0.00,0.0000,0.00000,0.00,50.297,1.223,61.50,22.123,22.105,-0.000618,0.003087,0.000159,0.073,22.011
0.683594,0,0,1.88,0.0000,0.00000,0.00,50.295,1.259,63.31,22.124,22.106,0.000019,0.002257,0.000651,0.000,22.011
0.687500,0,0,1.39,0.0225,0.00452,0.00,50.302,1.196,60.17,22.124,22.107,0.001931,0.002940,0.002291,0.088,22.011
0.691406,0,0,0.00,0.0000,0.00000,0.00,50.309,1.154,58.05,22.125,22.107,0.005904,0.001832,0.002237,0.000,22.012
0.695313,0,0,2.14,0.0558,0.00409,0.00,50.276,1.148,57.71,22.126,22.108,0.001714,0.002966,0.000285,0.000,22.012
0.699219,0,0,0.00,0.0230,0.00739,0.00,50.284,1.192,59.91,22.126,22.108,0.003607,0.005343,0.001719,0.000,22.012
0.703125,0,0,0.00,0.0205,0.00041,0.00,50.310,1.076,54.14,22.127,22.109,0.002446,0.003961,0.001171,0.065,22.012
0.707031,0,0,1.79,0.0308,0.00000,0.00,50.287,1.192,59.97,22.128,22.109,0.001896,0.004120,0.004474,0.000,22.012
0.710938,0,0,0.57,0.0044,0.00000,0.00,50.302,1.118,56.24,22.128,22.110,-0.000917,0.003719,0.001729,0.000,22.012
0.714844,0,0,0.00,0.0000,0.00000,0.00,50.327,0.951,47.88,22.129,22.110,-0.001290,0.002026,0.002311,0.000,22.012
0.718750,0,0,3.18,0.0050,0.00000,0.00,50.328,1.030,51.81,22.129,22.111,0.002775,0.004848,0.001409,0.000,22.012
0.722656,0,0,1.21,0.0000,0.00000,0.00,50.292,1.205,60.60,22.130,22.111,0.005282,0.003574,0.004695,0.051,22.012
0.726563,0,0,0.00,0.0000,0.00091,0.00,50.295,1.080,54.34,22.131,22.112,0.003968,0.004588,0.001014,0.000,22.012
0.730469,0,0,0.00,0.0303,0.00998,0.00,50.291,1.188,59.75,22.131,22.113,0.002100,0.003279,0.003113,0.000,22.012
0.734375,0,0,0.00,0.0000,0.00000,0.00,50.315,1.275,64.14,22.132,22.113,0.000666,0.000790,-0.001046,0.000,22.012
0.738281,0,0,0.00,0.0000,0.00067,0.00,50.327,1.187,59.74,22.133,22.114,0.001710,0.003158,-0.000026,0.000,22.012
0.742188,0,0,0.32,0.0000,0.00342,0.00,50.299,1.148,57.73,22.133,22.114,0.001142,0.003321,-0.001289,0.000,22.012
0.746094,0,0,0.00,0.0000,0.00792,0.00,50.319,1.117,56.19,22.134,22.115,0.002658,0.006300,0.002298,0.000,22.012
0.750000,0,0,0.00,0.0000,0.00000,0.00,50.304,1.209,60.80,22.135,22.115,0.000584,0.004983,0.001461,0.073,22.012
0.753906,0,0,5.10,0.0000,0.00918,0.00,50.289,1.273,64.02,22.136,22.116,0.006642,0.005214,0.000972,0.000,22.013
0.757813,0,0,0.00,0.0000,0.00232,0.00,50.332,1.068,53.75,22.136,22.117,0.000902,0.002671,0.001559,0.000,22.013
0.761719,0,0,0.00,0.0293,0.00463,0.00,50.288,1.273,64.01,22.137,22.117,0.002192,0.005468,0.002967,0.000,22.013
